ID;Emissiebronnen;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
399;A025447;A044112;2005JJ00;163.8
400;A025447;A044112;2006JJ00;157.2
401;A025447;A044112;2007JJ00;145.8
402;A025447;A044112;2008JJ00;144.0
403;A025447;A044112;2009JJ00;131.7
404;A025447;A044112;2010JJ00;138.6
405;A025447;A044112;2011JJ00;126.6
406;A025447;A044112;2012JJ00;122.4
407;A025447;A044112;2013JJ00;120.7
408;A025447;A044112;2014JJ00;110.8
409;A025447;A044112;2015JJ00;113.2
410;A025447;A044112;2016JJ00;106.8
411;A025447;A044112;2017JJ00;103.3
412;A025447;A044112;2018JJ00;99.9
413;A025447;A044112;2019JJ00;95.9
414;A025447;A044112;2020JJ00;90.5
415;A025447;A044112;2021JJ00;90.6
416;A025447;A044112;2022JJ00;83.9
417;A025447;A044112;2023JJ00;78.5
418;A025447;A044112;2024JJ00;77.4
419;A025447;A044112;2025JJ00;76.4
420;A025447;A044114;1990JJ00;170.7
421;A025447;A044114;1995JJ00;109.7
422;A025447;A044114;2000JJ00;63.1
423;A025447;A044114;2001JJ00;67.1
424;A025447;A044114;2002JJ00;60.6
425;A025447;A044114;2003JJ00;56.4
426;A025447;A044114;2004JJ00;59.1
427;A025447;A044114;2005JJ00;57.9
428;A025447;A044114;2006JJ00;58.3
429;A025447;A044114;2007JJ00;55.3
430;A025447;A044114;2008JJ00;47.8
431;A025447;A044114;2009JJ00;35.4
432;A025447;A044114;2010JJ00;32.9
433;A025447;A044114;2011JJ00;33.3
434;A025447;A044114;2012JJ00;33.6
435;A025447;A044114;2013JJ00;29.3
436;A025447;A044114;2014JJ00;28.8
437;A025447;A044114;2015JJ00;30.0
438;A025447;A044114;2016JJ00;27.9
439;A025447;A044114;2017JJ00;26.3
440;A025447;A044114;2018JJ00;24.4
441;A025447;A044114;2019JJ00;22.0
442;A025447;A044114;2020JJ00;19.0
443;A025447;A044114;2021JJ00;20.3
444;A025447;A044114;2022JJ00;19.0
445;A025447;A044114;2023JJ00;16.8
446;A025447;A044114;2024JJ00;15.2
447;A025447;A044114;2025JJ00;15.5
476;A025447;A044113;1990JJ00;52.8
477;A025447;A044113;1995JJ00;39.8
478;A025447;A044113;2000JJ00;30.9
479;A025447;A044113;2001JJ00;30.0
480;A025447;A044113;2002JJ00;29.3
481;A025447;A044113;2003JJ00;28.0
482;A025447;A044113;2004JJ00;27.9
483;A025447;A044113;2005JJ00;27.3
484;A025447;A044113;2006JJ00;27.1
485;A025447;A044113;2007JJ00;26.9
486;A025447;A044113;2008JJ00;26.7
487;A025447;A044113;2009JJ00;25.5
488;A025447;A044113;2010JJ00;26.3
489;A025447;A044113;2011JJ00;25.2
490;A025447;A044113;2012JJ00;24.7
491;A025447;A044113;2013JJ00;25.0
492;A025447;A044113;2014JJ00;24.2
493;A025447;A044113;2015JJ00;24.5
494;A025447;A044113;2016JJ00;24.1
495;A025447;A044113;2017JJ00;23.6
496;A025447;A044113;2018JJ00;23.1
497;A025447;A044113;2019JJ00;22.4
498;A025447;A044113;2020JJ00;21.0
499;A025447;A044113;2021JJ00;21.3
500;A025447;A044113;2022JJ00;21.2
501;A025447;A044113;2023JJ00;20.9
502;A025447;A044113;2024JJ00;20.3
503;A025447;A044113;2025JJ00;20.1
504;A025447;A051771;1990JJ00;31.6
505;A025447;A051771;1995JJ00;24.4
506;A025447;A051771;2000JJ00;17.7
507;A025447;A051771;2001JJ00;17.3
508;A025447;A051771;2002JJ00;16.4
509;A025447;A051771;2003JJ00;16.5
510;A025447;A051771;2004JJ00;16.2
511;A025447;A051771;2005JJ00;15.6
512;A025447;A051771;2006JJ00;15.9
513;A025447;A051771;2007JJ00;15.0
514;A025447;A051771;2008JJ00;14.8
515;A025447;A051771;2009JJ00;14.1
516;A025447;A051771;2010JJ00;14.9
517;A025447;A051771;2011JJ00;13.7
518;A025447;A051771;2012JJ00;13.1
519;A025447;A051771;2013JJ00;13.5
520;A025447;A051771;2014JJ00;12.4
521;A025447;A051771;2015JJ00;12.8
522;A025447;A051771;2016JJ00;12.6
523;A025447;A051771;2017JJ00;12.4
524;A025447;A051771;2018JJ00;12.1
525;A025447;A051771;2019JJ00;11.7
526;A025447;A051771;2020JJ00;10.7
527;A025447;A051771;2021JJ00;11.1
528;A025447;A051771;2022JJ00;11.1
529;A025447;A051771;2023JJ00;10.8
530;A025447;A051771;2024JJ00;10.5
531;A025447;A051771;2025JJ00;10.5
532;A025447;A044108;1990JJ00;369.7
533;A025447;A044108;1995JJ00;323.9
534;A025447;A044108;2000JJ00;267.7
535;A025447;A044108;2001JJ00;268.2
536;A025447;A044108;2002JJ00;253.0
537;A025447;A044108;2003JJ00;252.3
538;A025447;A044108;2004JJ00;273.9
539;A025447;A044108;2005JJ00;260.8
540;A025447;A044108;2006JJ00;267.4
541;A025447;A044108;2007JJ00;252.9
542;A025447;A044108;2008JJ00;264.1
543;A025447;A044108;2009JJ00;213.2
544;A025447;A044108;2010JJ00;251.9
545;A025447;A044108;2011JJ00;217.7
546;A025447;A044108;2012JJ00;216.8
547;A025447;A044108;2013JJ00;206.2
548;A025447;A044108;2014JJ00;184.1
549;A025447;A044108;2015JJ00;197.2
550;A025447;A044108;2016JJ00;192.4
551;A025447;A044108;2017JJ00;180.9
552;A025447;A044108;2018JJ00;182.1
553;A025447;A044108;2019JJ00;181.5
554;A025447;A044108;2020JJ00;165.5
555;A025447;A044108;2021JJ00;171.2
556;A025447;A044108;2022JJ00;167.3
557;A025447;A044108;2023JJ00;150.9
558;A025447;A044108;2024JJ00;158.8
559;A025447;A044108;2025JJ00;161.0
560;800044;A044109;1990JJ00;52800.0
561;800044;A044109;1995JJ00;61300.0
562;800044;A044109;2000JJ00;63200.0
563;800044;A044109;2001JJ00;67500.0
564;800044;A044109;2002JJ00;68000.0
565;800044;A044109;2003JJ00;68900.0
566;800044;A044109;2004JJ00;70800.0
567;800044;A044109;2005JJ00;69500.0
568;800044;A044109;2006JJ00;64300.0
569;800044;A044109;2007JJ00;65900.0
570;800044;A044109;2008JJ00;66000.0
